english,portuguese,type,example_en,example_pt,present,past_perfeito,past_imperfeito,future
to be,ser,verb-irregular,I am happy.,Eu sou feliz.,sou|és|é|somos|sois|são,fui|foste|foi|fomos|fostes|foram,era|eras|era|éramos|éreis|eram,serei|serás|será|seremos|sereis|serão
to have,ter,verb-irregular,I have a car.,Eu tenho um carro.,tenho|tens|tem|temos|tendes|têm,tive|tiveste|teve|tivemos|tivestes|tiveram,tinha|tinhas|tinha|tínhamos|tínheis|tinham,terei|terás|terá|teremos|tereis|terão
to be,estar,verb-irregular,I am at home.,Eu estou em casa.,estou|estás|está|estamos|estais|estão,estive|estiveste|esteve|estivemos|estivestes|estiveram,estava|estavas|estava|estávamos|estáveis|estavam,estarei|estarás|estará|estaremos|estareis|estarão
to do,fazer,verb-irregular,What do you do?,O que fazes?,faço|fazes|faz|fazemos|fazeis|fazem,fiz|fizeste|fez|fizemos|fizestes|fizeram,fazia|fazias|fazia|fazíamos|fazíeis|faziam,farei|farás|fará|faremos|fareis|farão
to go,ir,verb-irregular,I go to school.,Eu vou à escola.,vou|vais|vai|vamos|ides|vão,fui|foste|foi|fomos|fostes|foram,ia|ias|ia|íamos|íeis|iam,irei|irás|irá|iremos|ireis|irão
to say,dizer,verb-irregular,I say the truth.,Eu digo a verdade.,digo|dizes|diz|dizemos|dizeis|dizem,disse|disseste|disse|dissemos|dissestes|disseram,dizia|dizias|dizia|dizíamos|dizíeis|diziam,direi|dirás|dirá|diremos|direis|dirão
to give,dar,verb-irregular,I give you a gift.,Eu dou-te um presente.,dou|dás|dá|damos|dais|dão,dei|deste|deu|demos|destes|deram,dava|davas|dava|dávamos|dáveis|davam,darei|darás|dará|daremos|dareis|darão
to see,ver,verb-irregular,I see the sea.,Eu vejo o mar.,vejo|vês|vê|vemos|vedes|veem,vi|viste|viu|vimos|vistes|viram,via|vias|via|víamos|víeis|viam,verei|verás|verá|veremos|vereis|verão
to know,saber,verb-irregular,I know the answer.,Eu sei a resposta.,sei|sabes|sabe|sabemos|sabeis|sabem,soube|soubeste|soube|soubemos|soubestes|souberam,sabia|sabias|sabia|sabíamos|sabíeis|sabiam,saberei|saberás|saberá|saberemos|sabereis|saberão
to come,vir,verb-irregular,I come from Portugal.,Eu venho de Portugal.,venho|vens|vem|vimos|vindes|vêm,vim|vieste|veio|viemos|viestes|vieram,vinha|vinhas|vinha|vínhamos|vínheis|vinham,virei|virás|virá|viremos|vireis|virão
can,poder,verb-irregular,I can help you.,Eu posso ajudar-te.,posso|podes|pode|podemos|podeis|podem,pude|pudeste|pôde|pudemos|pudestes|puderam,podia|podias|podia|podíamos|podíeis|podiam,poderei|poderás|poderá|poderemos|podereis|poderão
to want,querer,verb-irregular,I want coffee.,Eu quero café.,quero|queres|quer|queremos|quereis|querem,quis|quiseste|quis|quisemos|quisestes|quiseram,queria|querias|queria|queríamos|queríeis|queriam,quererei|quererás|quererá|quereremos|querereis|quererão
year,ano,noun,I was born last year.,Nasci no ano passado.,,,
day,dia,noun,Today is a beautiful day.,Hoje é um dia bonito.,,,
person,pessoa,noun,She is a nice person.,Ela é uma pessoa simpática.,,,
time,tempo,noun,I don't have time.,Eu não tenho tempo.,,,
house,casa,noun,My house is big.,A minha casa é grande.,,,
world,mundo,noun,The world is big.,O mundo é grande.,,,
life,vida,noun,Life is beautiful.,A vida é bela.,,,
way,caminho,noun,This is the way.,Este é o caminho.,,,
man,homem,noun,The man is tall.,O homem é alto.,,,
woman,mulher,noun,The woman is smart.,A mulher é inteligente.,,,
child,criança,noun,The child plays.,A criança brinca.,,,
friend,amigo,noun,He is my friend.,Ele é o meu amigo.,,,
water,água,noun,I drink water.,Eu bebo água.,,,
food,comida,noun,The food is delicious.,A comida é deliciosa.,,,
book,livro,noun,I read a book.,Eu leio um livro.,,,
city,cidade,noun,The city is beautiful.,A cidade é bonita.,,,
country,país,noun,Portugal is a country.,Portugal é um país.,,,
work,trabalho,noun,I have work.,Eu tenho trabalho.,,,
school,escola,noun,The school is closed.,A escola está fechada.,,,
family,família,noun,I love my family.,Eu amo a minha família.,,,
name,nome,noun,What's your name?,Qual é o teu nome?,,,
hand,mão,noun,Raise your hand.,Levanta a mão.,,,
head,cabeça,noun,My head hurts.,A minha cabeça dói.,,,
eye,olho,noun,Your eyes are beautiful.,Os teus olhos são bonitos.,,,
place,lugar,noun,This is a nice place.,Este é um lugar bonito.,,,
door,porta,noun,Close the door.,Fecha a porta.,,,
car,carro,noun,I have a car.,Eu tenho um carro.,,,
street,rua,noun,The street is busy.,A rua está movimentada.,,,
table,mesa,noun,The table is clean.,A mesa está limpa.,,,
room,quarto,noun,My room is small.,O meu quarto é pequeno.,,,
window,janela,noun,Open the window.,Abre a janela.,,,
money,dinheiro,noun,I need money.,Eu preciso de dinheiro.,,,
hour,hora,noun,What time is it?,Que horas são?,,,
week,semana,noun,See you next week.,Até a próxima semana.,,,
month,mês,noun,This month is June.,Este mês é junho.,,,
morning,manhã,noun,Good morning.,Bom dia.,,,
night,noite,noun,Good night.,Boa noite.,,,
afternoon,tarde,noun,Good afternoon.,Boa tarde.,,,
minute,minuto,noun,Wait a minute.,Espera um minuto.,,,
moment,momento,noun,Wait a moment.,Espera um momento.,,,
question,questão,noun,I have a question.,Eu tenho uma questão.,,,
answer,resposta,noun,I know the answer.,Eu sei a resposta.,,,
problem,problema,noun,I have a problem.,Eu tenho um problema.,,,
idea,ideia,noun,I have an idea.,Eu tenho uma ideia.,,,
word,palavra,noun,What does this word mean?,O que significa esta palavra?,,,
number,número,noun,Write your phone number.,Escreve o teu número de telefone.,,,
example,exemplo,noun,For example.,Por exemplo.,,,
group,grupo,noun,Join our group.,Junta-te ao nosso grupo.,,,
teacher,professor,noun,The teacher explains well.,O professor explica bem.,,,
student,aluno,noun,The student studies.,O aluno estuda.,,,
music,música,noun,I like music.,Eu gosto de música.,,,
body,corpo,noun,Exercise is good for the body.,O exercício faz bem ao corpo.,,,
father,pai,noun,My father works.,O meu pai trabalha.,,,
mother,mãe,noun,My mother cooks.,A minha mãe cozinha.,,,
son,filho,noun,He is my son.,Ele é o meu filho.,,,
daughter,filha,noun,She is my daughter.,Ela é a minha filha.,,,
